HWFG
XCOM
IUSG
RGNX
HEC
VTX
VRNG
UGE
HEM
TBRA
SPY
MSSN
SPP
SPR
SLDR
CTZN
SPW
JBAK
SPI
SPK
LASE
SPN
SPO
BSDM
SPA
SPB
SPC
BLVD
GTIP
SPF
SPG
IXJ
XPH
IXN
TRAD
IXC
NXUSF
RTIX
IXX
GOAM
IXP
XPP
ZHOM
JNS
CAVN
NWLI
CGPI
PQE
UHCP
KLLM
JNY
EPU
JNC
JNB
MBSD
PRED
JNK
MBSI
PQZ
REMC
PYDS
UGCE
VENT
BEI
BEN
VENP
BEL
BEM
BEC
VENX
BED
BEE
BEZ
RFP
BER
BES
BEP
BEV
BET
RFV
GHDX
BIRT
MHLX
BIRM
GRV
GRT
GRU
GRR
GRS
VNTR
RCON
EIRL
GRZ
BOLT
SPRO
GRF
FNFG
TONS
LF
GRB
GRC
GRA
GRN
GRO
GRL
GRM
GRH
GRI
NOM
NOI
DYAX
HLX
ITGR
MBFC
HLCS
HLT
HLS
HLR
NOC
HLM
NSLB
NOX
HLI
HLG
TJX
NOV
HLD
NOR
OLLI
SMDI
SYPR
SMDK
FJC
FJA
ROFO
HYB
LEON
SPU
BWXT
HYC
IFAS
ARCP
SMDV
PHMD
RFI
SPH
KTOV
ARTT
ARTW
QTS
ARTX
DROV
MCHM
PLW
ARTC
ARTE
ARTD
ARTG
WSH
ARTI
CFSG
CFSB
ARTL
SPM
DIVI
SCMP
ARCX
BFAM
DIVA
OCFC
DYTK
DIVY
DIVX
LEAF
DIVS
SGEN
RLM
EDC
MGRC
MSSR
RLI
NTAP
QDXU
EDE
CLZR
LMS
LMT
EDO
RLC
SPE
EDR
EDS
EDP
HYS
EDV
LMM
EDT
EDU
EDZ
OPAY
NTAI
QMDC
RLR
DPW
PEEK
COHN
ABAG
VXUS
FLBK
COHB
MOTI
PLT
ABAN
GPTX
FERO
MOTO
DPG
MOTR
DPD
FCBC
MOTV
COHR
XPO
ABAX
DPL
DPK
CNAM
COHT
COHU
EQNX
LG
LD
LE
LB
LC
LO
LL
LM
LH
LI
LU
LR
LQ
LZ
HANA
A
CNTF
CNTE
CSM
CNTB
NBAN
HEAL
CNTL
NSANY
ICII
IXG
CNTV
HEAT
FRGB
HEAR
CNTR
NBHC
BGEN
SVNT
RSTO
CNTY
ICIX
PNY
PNX
CFL
CFK
CFI
CFF
PNP
CFD
PNR
PNU
CFC
PNW
CFA
PNI
VABT
PNK
MRLN
PNM
PNO
PNN
CFW
PNC
PNB
CFR
CFS
PNG
PNF
CBON
AAAP
HAMS
HAMP
TRUP
CBLT
ELOT
GSMA
AAAB
OWC
FCGS
TRUC
CBOU
TRUE
MCBK
VLSM
EXNT
GNCNF
HYLD
RELX
PRQR
XGNT
HYLS
NHRX
REMX
JMLP
MRX
CHFN
TYO
REMY
CHFC
JAXB
SIXR
MRS
MRL
MRM
MRN
MRO
MRH
OXIS
MRK
MRD
MRE
MRF
MRG
IBMJ
MRA
MRB
MRC
APZ
APX
APY
IBDC
APR
APS
APP
APW
FSON
APU
ORBK
API
APN
APO
APL
APM
APB
APC
ORBC
APA
APF
APD
GULTU
GMST
NCOM
PKBK
NCOC
NCOG
ISWI
UCTN
HBEK
UCTT
EMKR
SMFG
CMLH
PAYX
CSOD
SLCT
ARDNA
CSON
LOIS
JGBO
SLCA
UHCO
PAYC
SLCK
BIOA
KAMNA
KXI
KXM
SASR
VTIV
VTIP
GTHR
VRUS
DHMS
OCUL
IDNX
APIC
COMB
IBMH
APII
BEO
VTEB
LAND
LANC
CLNTF
SEF
GMOM
DGIN
BRSS
LANV
LANZ
DGII
FMAR
CNHX
FMAT
EVVV
CNKT
YAO
CRWN
CHANF
IDBE
PLG
MBLX
TMCV
MBND
SPAN
SOCB
TMCS
SPAB
SOCL
MBNK
DNKN
MKTAY
SOCT
SOCR
SPAR
DNKY
DGIC
DEUS
MBNY
CLL
ANSR
ANSS
ANST
ODETB
ODETA
ANSW
ANSI
ANSL
PHAR
IME
ICUI
GERJ
REDF
CLJ
SSLT
BIIB
CLK
OAKF
PHIIK
HTXA
RACE
CSY
IMH
RACN
OAKS
OAKT
IUBC
IIAA
MRVT
VCD
VCF
AKZOY
VCI
VCO
VCP
VCR
DHG
IMO
VCV
IMN
QXLC
AIRB
TARO
FACO
PDN
AIRI
ZMLP
TARG
AIRM
AIRN
AIRO
DHF
PDL
AIRT
PSRC
TARR
JLMI
FACT
CLY
VCGH
WPC
ZAGG
HCFC
CLT
NFSB
IMX
STCL
WHIT
BPMI
CFNL
FNET
TUMI
UXP
NWNG
PDC
BPMC
BRDG
AMSC
MTUM
CFNC
CFNB
ATSC
UXG
LIVE
PDA
AMSY
LIVN
UXJ
PCTL
BRDR
UXI
YUMA
COBT
YUME
CXSE
RMAX
ASFD
HMNY
CSPI
X
TKTX
AMSGB
XOVR
UBSH
UBSI
PLCC
ELXS
INFI
CLMS
UBSC
PLCM
ALMI
ASFN
RDGE
EXDS
TKLC
MCUR
UMBF
DMB
DMC
DMD
DME
DMF
DMH
DMI
DMM
DMN
DMO
TPRE
SWKS
INFA
GPOR
DMX
TONE
STCR
WBC
MTGNY
BSBR
KROO
STCS
FFBZ
GRP
SABR
FWP
OPOF
ZEP
OCIP
PHOC
SABI
QTET
FFBK
FFBH
FFBI
SABB
SABC
CTXS
SABA
MGIC
FFBC
PHON
XRM
MYY
XRO
FLTX
JASO
WCNX
PANRA
XRA
VHT
IBDJ
XIDE
XRX
XRU
XRT
XRS
PSJ
PSK
XRSC
PSI
PSO
PSL
CFMS
PSB
INFS
PSA
PSF
PSG
PSD
KURA
DXGE
JLG
PSY
JLA
INWK
PSR
PSS
PSP
JLN
JLI
GABC
PST
PSU
BCL
TRNI
BCO
CICI
VYTL
HNI
BCE
BCF
IDLB
TRND
BCA
GMLP
BCC
TRNX
HNP
HNR
BCX
HNT
HNW
HNV
BCT
BCU
BCV
HNZ
BCP
BCR
BCS
TLNT
EUMV
BPG
SDIX
SDIV
OSGB
BPK
SRC
WZEN
SRA
SRF
SRG
SRE
SRK
SRI
SRN
SRO
SRM
SRR
SRS
SRP
SRQ
SRV
SRW
SRT
TURF
SRZ
SRX
CRIC
CHMT
OVLY
TDK
ERES
NMT
TDH
NMR
NMS
NMP
BPP
TDC
BKCT
BVXV
NOK
NMZ
TDF
NMX
NMY
ORYX
NMG
TDY
TDX
NMB
RNBO
LPMA
NMA
TDS
NMO
NML
TDP
TDW
NMK
NMI
LOB
LQID
FHN
FHI
LOG
LOD
LEMF
SYRX
LON
PDKL
FHC
NOPT
LOR
IFOX
LOW
DHX
ADUS
IKAN
GUID
PWEI
FHS
FHR
MFB
VEGA
SPGLA
MRCY
CRIS
VIRS
NXI
BFCI
LFP
TCSI
IFSIA
ULAB
SNTKY
DITC
IGEN
QTEL
FTWR
IGEM
KBAY
NTGR
EBF
NOW
RJR
EBC
NTGX
EBI
OTCM
RITA
EBR
EBS
FOBB
ALPH
RJI
CONR
PECS
SWTX
MOVI
DRQ
DRP
DRS
MOVE
GLNG
PJM
LFUS
MOVA
DRI
DRH
ARCW
DRJ
DRL
GPRE
CONG
DRA
DRC
CISG
DRE
DRD
CONN
DRF
TCBI
SXTN
SMDD
NDRM
DSKY
NDRO
